3C293;&;3C31;&;IRAS_02411+0353;\\ hline
AGN15;&;Arp220;&;IRAS_03521+0028;\\ hline
EIRS-13;&;CGCG381-051;&;IRAS_08201+2801;\\ hline
EIRS-2;&;E12-G21;&;IRAS_09039+0503;\\ hline
EIRS-41;&;EIRS-14;&;IRAS_09116+0334;\\ hline
GN26;&;EIRS-16;&;IRAS_09463+8141;\\ hline
IRAS_00091-0738;&;EIRS-21;&;IRAS_09539+0857;\\ hline
IRAS_00482-2721;&;EIRS-37;&;IRAS_10485-1447;\\ hline
IRAS_01166-0844;&;EIRS-55;&;IRAS_11095-0238;\\ hline
IRAS_01298-0744;&;EIRS-9;&;IRAS_11180+1623;\\ hline
IRAS_01355-1814;&;IRAS_00456-2904;&;IRAS_11582+3020;\\ hline
IRAS_01569-2939;&;IRAS_01199-2307;&;IRAS_12032+1707;\\ hline
IRAS_03250+1606;&;IRAS_01494-1845;&;IRAS_12112+0305;\\ hline
IRAS_10035+2740;&;\hfill;&;IRAS_12359-0725;\\ hline
IRAS_10190+1322;&;\hfill;&;IRAS_13469+5833;\\ hline
IRAS_10494+4424;&;\hfill;&;IRAS_13509+0442;\\ hline
IRAS_11028+3130;&;\hfill;&;IRAS_14060+2919;\\ hline
IRAS_11130-2659;&;\hfill;&;IRAS_14252-1550;\\ hline
IRAS_11387+4116;&;\hfill;&;IRAS_14348-1447;\\ hline
IRAS_11506+1331;&;\hfill;&;IRAS_16300+1558;\\ hline
IRAS_13335-2612;&;\hfill;&;IRAS_16333+4630;\\ hline
IRAS_13539+2920;&;\hfill;&;IRAS_16487+5447;\\ hline
IRAS_15206+3342;&;\hfill;&;\hfill;\\ hline
IRAS_15225+2350;&;\hfill;&;\hfill;\\ hline
IRAS_16090-0139;&;\hfill;&;\hfill;\\ hline
IRAS_16468+5200;&;\hfill;&;\hfill;\\ hline
IRAS_16474+3430;&;\hfill;&;\hfill;\\ hline
IRAS_17028+5817;&;\hfill;&;\hfill;\\ hline
IRAS_17068+4027;&;\hfill;&;\hfill;\\ hline
IRAS_20414-1651;&;\hfill;&;\hfill;\\ hline
IRAS_21208-0519;&;\hfill;&;\hfill;\\ hline
IRAS_21329-2346;&;\hfill;&;\hfill;\\ hline
IRAS_22206-2715;&;\hfill;&;\hfill;\\ hline
IRAS_22491-1808;&;\hfill;&;\hfill;\\ hline
IRAS_23129+2548;&;\hfill;&;\hfill;\\ hline
IRAS_23234+0946;&;\hfill;&;\hfill;\\ hline
IRAS02021-2103;&;\hfill;&;\hfill;\\ hline
IRAS02480-3745;&;\hfill;&;\hfill;\\ hline
IRAS03209-0806;&;\hfill;&;\hfill;\\ hline
IRAS04074-2801;&;\hfill;&;\hfill;\\ hline
IRAS05020-2941;&;\hfill;&;\hfill;\\ hline
IRAS08474+1813;&;\hfill;&;\hfill;\\ hline
IRAS08591+5248;&;\hfill;&;\hfill;\\ hline
IRAS10594+3818;&;\hfill;&;\hfill;\\ hline
IRAS12447+3721;&;\hfill;&;\hfill;\\ hline
IRAS13106-0922;&;\hfill;&;\hfill;\\ hline
IRAS14121-0126;&;\hfill;&;\hfill;\\ hline
IRAS14197+0813;&;\hfill;&;\hfill;\\ hline
IRAS14202+2615;&;\hfill;&;\hfill;\\ hline
IRAS14485-2434;&;\hfill;&;\hfill;\\ hline
IRAS15043+5754;&;\hfill;&;\hfill;\\ hline
IRAS21477+0502;&;\hfill;&;\hfill;\\ hline
IRAS22088-1831;&;\hfill;&;\hfill;\\ hline
M-2-33-34;&;\hfill;&;\hfill;\\ hline
M-2-40-4;&;\hfill;&;\hfill;\\ hline
M-5-13-17;&;\hfill;&;\hfill;\\ hline
MIPS15928;&;\hfill;&;\hfill;\\ hline
MIPS8342;&;\hfill;&;\hfill;\\ hline
MIPS8521;&;\hfill;&;\hfill;\\ hline
Mrk1066;&;\hfill;&;\hfill;\\ hline
Mrk273;&;\hfill;&;\hfill;\\ hline
Mrk334;&;\hfill;&;\hfill;\\ hline
Mrk471;&;\hfill;&;\hfill;\\ hline
Mrk52;&;\hfill;&;\hfill;\\ hline
Mrk609;&;\hfill;&;\hfill;\\ hline
Mrk622;&;\hfill;&;\hfill;\\ hline
Mrk883;&;\hfill;&;\hfill;\\ hline
Mrk938;&;\hfill;&;\hfill;\\ hline
NGC1056;&;\hfill;&;\hfill;\\ hline
NGC1097;&;\hfill;&;\hfill;\\ hline
NGC1125;&;\hfill;&;\hfill;\\ hline
NGC1222;&;\hfill;&;\hfill;\\ hline
NGC1365;&;\hfill;&;\hfill;\\ hline
NGC1566;&;\hfill;&;\hfill;\\ hline
NGC2146;&;\hfill;&;\hfill;\\ hline
NGC2273;&;\hfill;&;\hfill;\\ hline
NGC2623;&;\hfill;&;\hfill;\\ hline
NGC2639;&;\hfill;&;\hfill;\\ hline
NGC2992;&;\hfill;&;\hfill;\\ hline
NGC3031;&;\hfill;&;\hfill;\\ hline
NGC3227;&;\hfill;&;\hfill;\\ hline
NGC3256;&;\hfill;&;\hfill;\\ hline
NGC3511;&;\hfill;&;\hfill;\\ hline
NGC3556;&;\hfill;&;\hfill;\\ hline
NGC3628;&;\hfill;&;\hfill;\\ hline
NGC3786;&;\hfill;&;\hfill;\\ hline
NGC3982;&;\hfill;&;\hfill;\\ hline
NGC4088;&;\hfill;&;\hfill;\\ hline
NGC4388;&;\hfill;&;\hfill;\\ hline
NGC4501;&;\hfill;&;\hfill;\\ hline
NGC4579;&;\hfill;&;\hfill;\\ hline
NGC4594;&;\hfill;&;\hfill;\\ hline
NGC4676;&;\hfill;&;\hfill;\\ hline
NGC4945;&;\hfill;&;\hfill;\\ hline
NGC5033;&;\hfill;&;\hfill;\\ hline
NGC5135;&;\hfill;&;\hfill;\\ hline
NGC5194;&;\hfill;&;\hfill;\\ hline
NGC5929;&;\hfill;&;\hfill;\\ hline
NGC5953;&;\hfill;&;\hfill;\\ hline
NGC6810;&;\hfill;&;\hfill;\\ hline
NGC6890;&;\hfill;&;\hfill;\\ hline
NGC7130;&;\hfill;&;\hfill;\\ hline
NGC7252;&;\hfill;&;\hfill;\\ hline
NGC7469;&;\hfill;&;\hfill;\\ hline
NGC7496;&;\hfill;&;\hfill;\\ hline
NGC7582;&;\hfill;&;\hfill;\\ hline
NGC7603;&;\hfill;&;\hfill;\\ hline
NGC7714;&;\hfill;&;\hfill;\\ hline
SST172458,3+591545;&;\hfill;&;\hfill;\\ hline
SWIRE4_J105840,62+582124,7;&;\hfill;&;\hfill;\\ hline
SWIRE4_J105943.83+572524,9;&;\hfill;&;\hfill;\\ hline
UGC12138;&;\hfill;&;\hfill;\\ hline
UGC5101;&;\hfill;&;\hfill;\\ hline
