Spitzer/IRS ATLAS project source catalog version 1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;Name_NED;reference;RA (hms);Dec (dms);zbest;zspec;zIRS;source type;MIR_class;refmag;refmag_flag;Rband_name;Rband_flux;Rband_eflux;Kband_name;Kband_flux;Kband_eflux;IRAC1_flux;IRAC1_eflux;IRAC4_flux;IRAC4_eflux;24um_name;24um_flux;24um_eflux;70um_name;70um_flux;70um_eflux;1.4GHz_name;1.4GHz_flux;1.4GHz_eflux;lambda_min;lambda_max;lrest_min;lrest_max;nuLnu2.2;enuLnu2.2;nuLnu3.6;enuLnu3.6;nuLnu5.6;enuLnu5.6;nuLnu7.0;enuLnu7.0;nuLnu9.0;enuLnu9.0;nuLnu10.0;enuLnu10.0;nuLnu12.0;enuLnu12.0;nuLnu14.0;enuLnu14.0;nuLnu15.0;enuLnu15.0;nuLnu18.0;enuLnu18.0;nuLnu20.0;enuLnu20.0;nuLnu25.0;enuLnu25.0;C7-10-14;flagsil;Ssil;eSsil;lambdasil;elambdasil;continuumsil;econtinuumsil;peaksil;epeaksil;EWsil;eEWsil;Integralsil;eIntegralsil;SNRsil;flag62;L62;eL62;EW62;eEW62;Lcont62;eLcont62;f62;ef62;snr62;flag113;L113;eL113;EW113;eEW113;Lcont113;eLcont113;f113;ef113;snr113;5-15um coverage;Lum5-15;rAGN;erAGN;LumAGN;eLumAGN;rHII;erHII;LumHII;eLumHII;rPDR;erPDR;LumPDR;eLumPDR;tau97;etau97;chisq_decomp;redchisq;BIBCODE;AGNtype;Sy1;Sy1.X;Sy2;LINER;QSO;QSO2;Starburst;ULIRG;SMG;other
(hms);(dms);;;;;;(AB mag);;;(Jy);(Jy);;(Jy);(Jy);(Jy);(Jy);(Jy);(Jy);;(Jy);(Jy);;(Jy);(Jy);;(Jy);(Jy);(micron);(micron);(micron);(micron);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);;;;;(micron);(micron);(erg/s/micron);(erg/s/micron);(erg/s/micron);(erg/s/micron);(micron);(micron);(erg/s);(erg/s);;;(erg/s);(erg/s);(micron);(micron);(erg/s/micron);(erg/s/micron);(erg/s/cm2);(erg/s/cm2);;;(erg/s);(erg/s);(micron);(micron);(erg/s/micron);(erg/s/micron);(erg/s/cm2);(erg/s/cm2);;(%);(erg/s);;;(erg/s);(erg/s);;;(erg/s);(erg/s);;;(erg/s);(erg/s);;;;;;;;;;;;;;;;;;;
1146+59;NGC 3894;Willett10;11:48:50.3;+59:24:56;0.0108;0.0108; ;S;MIR_AGN2;14.15;R;r (SDSS Model) AB;0.0763;1.06E-4;K_s_total (2MASS);0.252;0.00351; ; ; ; ;IRAS 25 microns;0.13;0.028;IRAS 60 microns;0.14;0.059;FIRST;0.47157;1.52E-4;5.218;37.355;51.622.477;36.955.875; ; ; ; ;1.7E42;2,93E+43;1.32E42;3,86E+43;7,79E+44;1,56E+43;6,85E+44;9,05E+42;1,05E+45;1,12E+43;9,56E+44;1,29E+43;9,47E+44;1,27E+43;8,28E+44;1,57E+43;7,38E+44;1,85E+43;8,50E+44;1,02E+43;-0.5376407540112809;0;-0.577;0.031;9.8;0.0;1,27E+44;1,45E+42;-5,55E+43;2.57E39;-0.787;0.018;-9,85E+43;3,19E+42;30.9;0;5.29E39;5,25E+42;0.022;0.0218;2,41E+44;5,79E+42;2,07E-11;2,05E-11;1.007.309.910.863.400;0;2,41E+43;1,30E+42;0.3251;0.0184;7,42E+43;1,27E+42;9,43E-11;5,09E-12;18.528.776.159.691.400;9.837.752.342.224.120;1,29E+45;0.966;0.0080;1,25E+45;1,07E+43;0.016;0.0040;2,10E+43;5,58E+42;0.017;0.0050;2,26E+43;6.73E39;0.897;0.018;925.42;15.17;2010ApJ...713.1393W;no_AGN;false;false;false;false;false;false;false;false;false;true
1946+70;2MASX J19455354+7055488;Willett10;19:45:53.5;+70:55:49;0.1008;0.1008; ;S?;MIR_AGN2;16.7;V; ; ; ;K_s_total (2MASS);0.00299;5.56E-4; ; ; ; ;IRS;0.005989;6,90E+10; ; ; ;NED;0.97;-99.0;5.157;37.522;46.847.744;34.086.117; ; ; ; ;1,77E+46;1,63E+45;1,52E+46;1,84E+45;1,28E+46;9,71E+44;1,39E+46;6,29E+44;1,75E+46;7.36E41;1,65E+46;4,13E+44;1,87E+46;4.32E41;1,92E+46;6,08E+44;2,00E+46;5.43E41;1,78E+46;3,28E+44;-0.13880283665396068;0;-0.312;0.115;9.8;0.0;2,14E+45;6,22E+43;-5,75E+44;1,88E+44;-0.424;0.08;-9,06E+44;1,97E+44;4.61;0;2.77E41;3,44E+44;0.1142;0.1434;2,43E+45;4,40E+44;1,09E-11;1,35E-11;0.8047337237328165;0;2,09E+44;9,22E+43;0.1481;0.066;1,41E+45;9,19E+43;8,22E-12;3,62E-12;2.267.457.838.602.460;100.0;1,93E+46;0.758;0.027;1.46E43;5,22E+44;0.183;0.017;3,53E+45;3,24E+44;0.059;0.015;1,14E+45;2,81E+44;0.241;0.06;61.39;0.97;2010ApJ...713.1393W;no_AGN;false;false;false;false;false;false;false;false;false;true
2M000703+155423;2MASX J00070361+1554240;Shi06;00:07:03.60;+15:54:24.0;0.114;0.114; ;S1.8;MIR_AGNx;17.12;V;r (SDSS Petrosian)AB;5.82E-4;4.46E-6;K_s_total (2MASS);0.00434;4.27E-4; ; ; ; ;IRS;0.06918500000000001;2,93E+11; ; ; ;NVSS;0.0165;9,00E+11;5.565;33.42;4.995.512;30.0; ; ; ; ;2,09E+47;9,91E+45;2,15E+47;6,44E+45;2,20E+47;4,49E+45;2,24E+47;3,41E+45;2,66E+47;4,36E+45;2,58E+47;2.75E42;2,65E+47;3,04E+45;2,85E+47;3.07E42;2,85E+47;2,70E+45;2,95E+47;2,52E+45;-0.053187558353485494;0;-0.063;0.054;9.8;0.256;3,01E+46;1,06E+45;-1,83E+45;1,47E+45;-0.101;0.048;-3,07E+45;1,45E+45;2.12;0;2.39E41;2,57E+45;0.0071;0.0762;3,38E+46;2,55E+45;7,21E-12;7,76E-11;0.09294921374639951;0;8,68E+44;6,55E+44;0.0386;0.0292;2,25E+46;5,12E+44;2,62E-11;1,98E-11;1.323.722.801.116.140;100.0;2.88E44;0.736;0.012;2,12E+47;3,57E+45;0.213;0.0080;6,13E+46;2,30E+45;0.051;0.0080;1,46E+46;2.3E42;0.024;0.026;62.89;1.0;2006ApJ...653..127S;type1.x;false;true;false;false;false;false;false;false;false;false
2M005055+293328;2MASX J00505570+2933281;Shi06;00:50:55.70;+29:33:28.0;0.136;0.136; ;S2;MIR_AGN2;19.1;O; ; ; ;K_s_total (2MASS);0.0041;3.87E-4; ; ; ; ;IRS;0.064545;2,60E+12; ; ; ;NVSS; ; ;5.675;34.08;4.995.599;30.0; ; ; ; ;3,40E+47;1,47E+46;3,48E+47;7,48E+45;2,98E+47;6,78E+45;2,83E+47;5,01E+45;3,42E+47;6,83E+45;3,54E+47;3,46E+45;3,66E+47;3,85E+45;3,73E+47;4,25E+45;3,85E+47;3.61E42;4,24E+47;2,91E+45;-0.2316096430218933;0;-0.22;0.066;9.8;0.0;4,59E+46;9,94E+44;-9,06E+45;2.54E42;-0.313;0.043;-1,42E+46;2,23E+45;6.38;0;6,44E+44;3,80E+45;0.0118;0.0695;5,47E+46;3,72E+45;1,33E-11;7,82E-11;0.16945901556374068;0;4.29E41;7,56E+44;0.0149;0.0262;2,88E+46;8,01E+44;8,83E-12;1,56E-11;0.5677170419757929;100.0;4,24E+47;0.83;0.011;3,52E+47;4,78E+45;0.142;0.0060;6,00E+46;2,66E+45;0.028;0.0070;1,19E+46;2,79E+45;0.298;0.025;32.09;0.51;2006ApJ...653..127S;type2;false;false;false;false;false;true;false;false;false;false
2M010835+214818;2MASSi J0108351+214818;Shi06;01:08:35.10;+21:48:18.0;0.285;0.285; ;S1.9;MIR_AGN2;20.0;V; ; ; ; ; ; ; ; ; ; ;IRS;0.094565;2,85E+12; ; ; ;NVSS;0.0060;5.0E-4;6.419;36.992;4.995.331;2.878.755; ; ; ; ;2,19E+48;1,09E+47;2,34E+48;4,25E+46;2,30E+48;3,78E+46;2,32E+48;3,15E+46;2,65E+48;1,85E+46;2,72E+48;2,20E+46;2,81E+48;3,03E+46;3,10E+48;1,82E+46;3,01E+48;1,59E+46;2,68E+48;2,53E+46;-0.09111624621486189;0;-0.078;0.037;9.8;0.0;4,18E+47;6,85E+45;-3,14E+46;1,45E+46;-0.124;0.033;-5,18E+46;1,43E+46;3.63;0;4,38E+45;7,93E+45;0.0123;0.0223;3,56E+47;1,10E+46;1,72E-11;3,11E-11;0.5527670451206924;0;5,73E+45;2,95E+45;0.0256;0.0132;2,24E+47;3,41E+45;2,25E-11;1,16E-11;1.942.091.644.279.830;100.0;3,45E+48;0.781;0.0070;2,69E+48;2,53E+46;0.197;0.0040;6,77E+47;1,50E+46;0.023;0.0040;7,78E+46;1,31E+46;0.055;0.019;110.78;1.76;2006ApJ...653..127S;type1.x;false;true;false;false;false;false;false;false;false;false
2M015721+171248;2MASSi J0157210+171248;Shi06;01:57:21.00;+17:12:48.0;0.213;0.213; ;S1;MIR_AGN2;20.9;O; ; ; ; ; ; ; ; ; ; ;IRS;0.035415;3,84E+11; ; ; ;NVSS;0.0046;4,00E+11;6.06;36.39;49.958.777;29.999.998; ; ; ; ;7,35E+47;6,88E+46;6.36E44;2.43E43;5,12E+47;2,22E+46;4,24E+47;1,67E+46;5,40E+47;1,64E+46;4,99E+47;1,24E+46;4,85E+47;1,41E+46;5.38E44;1,39E+46;5,91E+47;1,11E+46;7,50E+47;1,14E+46;-0.30875668786763644;0;-0.328;0.105;9.8;0.0;9,00E+46;3,44E+45;-2,51E+46;7,67E+45;-0.475;0.083;-4,22E+46;8,79E+45;4.8;0;5,24E+45;1,13E+46;0.0486;0.1046;1,08E+47;1,29E+46;3.99E-14;8.57E-14;0.46557757010941964;0;7,08E+45;2,43E+45;0.168;0.0584;4,21E+46;2,23E+45;5,39E-11;1,85E-11;29.109.553.041.771.700;100.0;7,87E+47;0.87;0.018;6.85E44;1.39E43;0.046;0.01;3,64E+46;8,18E+45;0.084;0.01;6,58E+46;7,85E+45;0.381;0.052;40.13;0.64;2006ApJ...653..127S;type1;false;false;false;false;true;false;false;false;false;false
2M022150+132741;2MASX J02215058+1327409;Shi06;02:21:50.60;+13:27:41.0;0.14;0.14; ;S1.8;MIR_AGN2;19.46;O; ; ; ;K_s_total (2MASS);0.00377;5.51E-4; ; ; ; ;IRAS 25 microns;0.0;-0.17200000000000001;IRAS 60 microns;0.327;0.0523;NVSS;0.0025;5.0E-4;5.7;34.195;5.0;29.995.615; ; ; ; ;4.88E44;2,32E+46;4,90E+47;1.17E43;4.29E44;1,10E+46;4,94E+47;8,54E+45;6,47E+47;1,12E+46;6,77E+47;5.36E42;6,85E+47;5.93E42;7,13E+47;7,79E+45;7,62E+47;6.84E42;9,14E+47;5.39E42;-0.16539090176816915;0;-0.187;0.053;9.8;0.0;7,39E+46;1,95E+45;-1,26E+46;3,39E+45;-0.236;0.042;-1,75E+46;3,58E+45;4.9;0;4,24E+45;4,55E+45;0.0559;0.0601;7,59E+46;4,59E+45;8,20E-11;8,80E-11;0.9317949102304939;0;1.15E41;1,14E+45;0.0022;0.0216;5.27E43;1,17E+45;2,22E-12;2,20E-11;0.10123006549436277;100.0;6,79E+47;0.727;0.01;4,93E+47;6,50E+45;0.262;0.0060;1,78E+47;4,39E+45;0.012;0.0050;8.1E42;3,09E+45;0.304;0.022;136.73;2.17;2006ApJ...653..127S;type1.x;false;true;false;false;false;false;false;false;false;false
2M023430+243835;2MASX J02343065+2438353;Shi06;02:34:30.60;+24:38:35.0;0.31;0.31; ;S1.5;MIR_AGN1;17.05;O; ; ; ;K_s_total (2MASS);0.00267;3.6E-4; ; ; ; ;IRS;0.09015300000000001;2,86E+11; ; ; ;NVSS; ; ;6.544;36.99;499.542;28.236.643; ; ; ; ;1,62E+48;1,08E+47;1.75E45;4.5E43;2,86E+48;4,57E+46;3.26E45;3,94E+46;3,22E+48;2,22E+46;3,31E+48;2,35E+46;3,37E+48;2,75E+46;3,49E+48;2,05E+46;3.61E45;1.96E43;3,71E+48;2,92E+46;0.3291335291709262;0;0.205;0.043;10.5;0.0;4,39E+47;6,53E+45;1,00E+47;2,21E+46;0.442;0.048;1,97E+47;1,82E+46;10.81;0;2,67E+45;7,30E+45;0.0098;0.0269;2,71E+47;9,54E+45;8,62E-12;2,36E-11;0.365789496201618;0;2,00E+45;2,98E+45;0.0071;0.0105;2,82E+47;2,72E+45;6,45E-12;9,60E-12;0.6715982642089826;100.0;3,67E+48;0.573;0.0070;2.1E45;2,66E+46;0.398;0.0050;1,46E+48;1,65E+46;0.029;0.0040;1,05E+47;1,42E+46;-0.462;0.015;150.16;2.38;2006ApJ...653..127S;type1.x;false;true;false;false;false;false;false;false;false;false
2M091848+211717;2MASSi J0845387+342043;Shi06;08:45:38.70;+34:20:44.0;0.149;0.149; ;QSO;MIR_AGN2; ; ;r (SDSS Petrosian)AB;5.72E-4;2.01E-6; ; ; ; ; ; ; ;IRS;0.106245;4,69E+11; ; ; ;NVSS; ; ;5.74;34.47;4.995.648;30.0; ; ; ; ;7,38E+47;2,78E+46;7,24E+47;1,35E+46;6,62E+47;1,35E+46;6,46E+47;1.0E43;7,64E+47;1,25E+46;7,47E+47;6,11E+45;7,60E+47;7.92E42;7,77E+47;8,61E+45;7,72E+47;7,48E+45;8,11E+47;6,52E+45;-0.14063348262816389;0;-0.17;0.043;9.8;0.0;1,01E+47;1,91E+45;-1,59E+46;3,85E+45;-0.256;0.035;-2,58E+46;3,97E+45;6.5;2;-2,94E+44;5,78E+45;-0.0027;0.0524;1,10E+47;5,02E+45;-4,95E-12;9,74E-11;0.05082152277069425;0;1,70E+45;1,37E+45;0.027;0.0217;6,31E+46;1,39E+45;2,87E-11;2,31E-11;12.422.145.691.280.300;100.0;9,20E+47;0.83;0.0080;7,63E+47;7,52E+45;0.139;0.0050;1,28E+47;4,31E+45;0.031;0.0050;2,86E+46;4,17E+45;0.178;0.021;48.2;0.77;2006ApJ...653..127S;type1;false;false;false;false;true;false;false;false;false;false
