rAGN;rHII;rPDR;Ssil;EW62;0_30;31_150;151_225;226_300;maior_300;
3C31;0,764;0,129;0,395;0,105;0,005;1,000;0,970;0,000;0,000;0,000
Arp220;0,296;0,779;0,382;0,674;0,010;0,915;1,000;0,000;0,000;0,000
CGCG381-051;0,279;0,704;0,469;-0,073;0,321;0,414;0,484;1,000;0,000;0,000
E12-G21;0,646;0,206;0,468;0,015;0,010;0,444;0,483;0,986;0,000;0,000
EIRS-14;0,277;0,456;0,692;0,199;0,021;0,542;0,491;0,926;0,000;0,000
EIRS-16;0,241;0,469;0,723;-0,067;0,022;0,546;0,491;0,924;0,000;0,000
EIRS-21;0,767;0,253;0,281;0,654;0,000;0,549;0,468;0,955;0,000;0,000
EIRS-37;0,759;0,211;0,328;0,056;0,003;0,599;0,504;0,878;0,000;0,000
EIRS-55;0,717;0,335;0,268;0,323;0,002;0,525;0,567;0,824;0,000;0,000
EIRS-9;0,252;0,493;0,688;0,230;0,267;0,492;0,535;0,887;0,000;0,000
IRAS_00456-2904;0,226;0,452;0,755;0,202;0,024;0,501;0,488;0,950;0,000;0,000
IRAS_01199-2307;0,338;0,668;0,428;0,559;0,005;0,557;0,505;0,897;0,000;0,000
IRAS_01494-1845;0,273;0,502;0,653;0,355;0,023;0,631;0,529;0,825;0,000;0,000
;;;;;;;;;;
MEDIA;0,449;0,435;0,502;0,249;0,055;0,593;0,578;0,773;0,000;0,000
;;;;;;;;;;
DESVIO;0,226;0,195;0,170;0,245;0,103;0,166;0,175;0,334;0,000;0,000
