rAGN;rHII;rPDR;Ssil;EW62;0_30;31_150;151_225;226_300;maior_300;
IRAS_02411+0353;0,295;0,599;0,542;0,165;0,020;0,387;0,383;0,493;0,898;0,000
IRAS_03521+0028;0,308;0,625;0,505;0,284;0,013;0,405;0,355;0,542;0,873;0,000
IRAS_08201+2801;0,410;0,501;0,489;0,530;0,005;0,422;0,296;0,524;1,000;0,000
IRAS_09039+0503;0,399;0,473;0,529;0,475;0,014;0,465;0,289;0,517;0,996;0,000
IRAS_09116+0334;0,238;0,436;0,755;0,209;0,023;0,469;0,310;0,521;0,944;0,000
IRAS_09463+8141;0,374;0,491;0,542;0,494;0,020;0,474;0,320;0,533;0,906;0,000
IRAS_09539+0857;0,355;0,639;0,434;0,745;0,007;0,516;0,327;0,538;0,858;0,000
IRAS_10485-1447;0,325;0,862;0,271;0,689;0,007;0,473;0,331;0,547;0,866;0,000
IRAS_11095-0238;0,425;0,691;0,304;0,873;0,000;0,425;0,326;0,547;0,910;0,000
IRAS_11180+1623;0,386;0,432;0,581;0,436;0,005;0,400;0,326;0,565;0,902;0,000
IRAS_11582+3020;0,454;0,478;0,458;0,587;0,001;0,389;0,311;0,569;0,933;0,000
IRAS_12032+1707;0,405;0,643;0,371;0,640;0,000;0,429;0,308;0,570;0,912;0,000
IRAS_12112+0305;0,325;0,520;0,575;0,362;0,018;0,430;0,310;0,550;0,933;0,000
IRAS_12359-0725;0,365;0,847;0,240;0,491;0,010;0,392;0,307;0,567;0,942;0,000
IRAS_13469+5833;0,382;0,535;0,494;0,390;0,014;0,418;0,318;0,584;0,880;0,000
IRAS_13509+0442;0,298;0,469;0,653;0,310;0,030;0,432;0,311;0,574;0,898;0,000
IRAS_14060+2919;0,196;0,543;0,712;0,179;0,317;0,480;0,285;0,548;0,949;0,000
IRAS_14252-1550;0,327;0,538;0,556;0,256;0,019;0,528;0,291;0,540;0,916;0,000
IRAS_14348-1447;0,463;0,425;0,494;0,465;0,010;0,536;0,293;0,541;0,906;0,000
IRAS_16300+1558;0,456;0,559;0,384;0,617;0,005;0,565;0,288;0,540;0,897;0,000
IRAS_16333+4630;0,373;0,444;0,585;0,296;0,017;0,611;0,292;0,510;0,898;0,000
IRAS_16487+5447;0,299;0,634;0,505;0,366;0,016;0,742;0,283;0,497;0,843;0,000
;;;;;;;;;;
MEDIA;0,357;0,563;0,499;0,448;0,026;0,472;0,312;0,542;0,912;0,000
;;;;;;;;;;
DESVIO;0,067;0,119;0,127;0,185;0,064;0,083;0,024;0,024;0,038;0,000
